id,url,snippet,source,headline,date,desk,section,type,word_count,locations,subjects
5c24eb4b3a125f5075c01f73,https://www.nytimes.com/2018/12/27/world/asia/india-trapped-coal-miners.html,"The workers have been trapped for two weeks, their chances of survival increasingly slim, local officials in the northeastern state of Meghalaya say.",The New York Times,India Struggles to Save 15 Trapped Coal Miners,2018-12-27,Foreign,World,News,355,"['India', 'Meghalaya (India)']","['Mines and Mining', 'Accidents and Safety', 'Rescues']"
5c26884d3a125f5075c02216,https://www.nytimes.com/2018/12/28/opinion/india-women-protests.html,Women there aren’t just protesting against violence. They are fighting for freedom from the institutions that hold them back.,The New York Times,India’s Newest War for Independence,2018-12-28,OpEd,Opinion,Op-Ed,564,['India'],"['Women and Girls', 'Sexual Harassment', 'Human Rights and Human Rights Violations', 'Caste Systems']"
5bacdae3068401528a2dd3a8,https://www.nytimes.com/2018/09/27/world/asia/india-supreme-court-modi.html,"As the country’s politics have veered to the right and become increasingly divisive, the justices have often acted as a progressive counterweight.",The New York Times,Hundreds of Cases a Day and a Flair for Drama: India’s Crusading Supreme Court,2018-09-27,Foreign,World,News,1497,['India'],"['Politics and Government', 'Constitutions', 'Hinduism', 'Muslims and Islam']"
5bd897e3068401528a2e2e57,https://www.nytimes.com/2018/10/30/world/asia/india-air-pollution.html,"Though India’s government has taken a few steps to curb pollution, data from across the country shows hazardous air pollution continues to rise.",The New York Times,"As World’s Air Gets Worse, India Struggles to Breathe",2018-10-30,Foreign,World,News,1534,['India'],"['Air Pollution', 'Agriculture and Farming']"
5c2404073a125f5075c01e70,https://www.nytimes.com/2018/12/26/technology/india-amazon-walmart-online-retail.html,The government announced a new policy barring the foreign companies from selling products from affiliated companies on their Indian shopping sites.,The New York Times,India Curbs Power of Amazon and Walmart to Sell Products Online,2018-12-26,Business,Technology,News,774,['India'],"['E-Commerce', 'Politics and Government', 'Computers and the Internet', 'Shopping and Retail', 'Foreign Investments', 'Protectionism (Trade)']"
5c065e3c3a125f5075bfd624,https://www.nytimes.com/2018/12/04/reader-center/whatsapp-food-india.html,"I set out to write a story about how the free, Wi-Fi-based app was changing food culture in India. I discovered it would change my reporting, too.",The New York Times,A Food Reporter’s Newest Tool to Reach Across India: WhatsApp,2018-12-04,Insider,Reader Center,News,871,['India'],"['Indian Food (Cuisine)', 'Food']"
5c1b68363a125f5075c012a6,https://www.nytimes.com/2018/12/20/travel/budget-travel-tips-india.html,"When you need to use your visa, how to get around on public and private transportation and what to think about all that tantalizing street food.",The New York Times,9 Things You Should Know Before You Go to India,2018-12-20,Travel,Travel,News,1651,['India'],['Budget Travel']
5bf7ddbe3a125f5075bfbb02,https://www.nytimes.com/2018/11/23/dining/whatsapp-india-cooking.html,"The application, blamed for all kinds of mayhem on the subcontinent, has proved a boon for farmers, home cooks and chefs who once lacked a way to share. ",The New York Times,WhatsApp Is Changing the Way India Talks About Food,2018-11-23,Dining,Food,News,1743,['India'],"['Cooking and Cookbooks', 'Indian Food (Cuisine)', 'Agriculture and Farming', 'Restaurants', 'Computers and the Internet', 'Social Media', 'Advertising and Marketing', 'Chefs']"
5bb3cea4068401528a2de1fd,https://www.nytimes.com/2018/10/02/sports/kabaddi-india.html,"With a professional league and television coverage, the sport is now second only to cricket in popularity in India.",The New York Times,Rugby Meets Red Rover: Kabaddi Has Captured the Heart of India,2018-10-02,Sports,Sports,News,1109,[],"['Cricket (Game)', 'Athletics and Sports']"
5bf7ddba3a125f5075bfbaff,https://www.nytimes.com/interactive/2018/11/23/technology/whatsapp-india-killings-ES.html,"False rumors of child kidnappers have gone viral on WhatsApp in India, prompting fearful mobs to kill two dozen innocent people since April",The New York Times,How WhatsApp Leads Mobs to Murder in India,2018-11-23,Technology,Technology,Interactive Feature,0,['India'],"['Rumors and Misinformation', 'Murders, Attempted Murders and Homicides']"
